bat_landing_to_food,seconds_after_rat_arrival,hours_after_sunset,rat_presence_intensity,foraging_efficiency,risk
1.0,306.0,10.3770555532,0.003257328990228013,0.0,1
1.0,9.0,2.770833333,0.1,0.5,0
1.0,456.0,2.895,0.002188183807439825,0.0,1
0.035319187,528.0,2.915,0.001890359168241966,0.0,1
1.0,534.0,2.916666667,0.001869158878504673,0.0,1
7.0,545.0,2.919722222,0.0018315018315018315,0.125,1
1.0,551.0,2.921388889,0.0018115942028985507,0.5,0
0.034803066,569.0,2.926388889,0.0017543859649122807,0.9663674498621944,0
1.0,583.0,2.930277778,0.0017123287671232876,0.0,1
1.0,589.0,2.931944444,0.001694915254237288,0.5,0
2.0,627.0,2.9425,0.0015923566878980893,0.3333333333333333,0
1.0,631.0,2.943611111,0.0015822784810126582,0.5,0
4.0,642.0,2.946666667,0.0015552099533437014,0.2,0
4.0,720.0,2.968333333,0.0013869625520110957,0.2,0
3.0,824.0,2.997222222,0.0012121212121212121,0.0,1
22.0,225.0,8.381666667,0.004424778761061947,0.043478260869565216,0
1.0,162.0,2.813333333,0.006134969325153374,0.0,1
2.0,151.0,8.333055556,0.006578947368421052,0.0,1
1.0,17.0,9.676111111,0.05555555555555555,0.0,1
3.0,116.0,8.713055556,0.008547008547008548,0.0,1
4.0,22.0,7.375277778,0.043478260869565216,0.0,1
3.0,96.0,7.395833333,0.010309278350515464,0.25,0
0.089216347,18.0,7.471944444,0.05263157894736842,0.9180912522606494,0
2.0,56.0,7.4825,0.017543859649122806,0.0,1
0.041390374,65.0,7.485,0.015151515151515152,0.960254698878175,0
0.090143902,81.0,7.489444444,0.012195121951219513,0.0,1
20.0,102.0,7.495277778,0.009708737864077669,0.0,0
2.0,149.0,7.508333333,0.006666666666666667,0.0,1
7.0,61.0,7.386111111,0.016129032258064516,0.0,1
21.0,65.0,7.387222222,0.015151515151515152,0.045454545454545456,1
4.0,68.0,7.388055556,0.014492753623188406,0.2,0
2.0,80.0,7.391388889,0.012345679012345678,0.3333333333333333,0
7.0,10.0,0.8775,0.09090909090909091,0.0,0
1.0,166.0,1.225277778,0.005988023952095809,0.0,1
14.0,299.0,5.661944444,0.0033333333333333335,0.06666666666666667,0
8.0,7.0,8.481666667,0.125,0.0,1
1.0,2.0,8.554722222,0.16666666666666666,0.5,0
6.0,74.0,8.796944444,0.013333333333333334,0.0,1
1.0,80.0,8.798611111,0.012345679012345678,0.0,1
7.0,99.0,8.803888889,0.01,0.0,1
4.0,116.0,8.808611111,0.008547008547008548,0.0,1
4.0,200.0,8.831944444,0.004975124378109453,0.0,1
0.035867953,27.0,10.37444444,0.03571428571428571,0.0,1
2.0,184.0,7.489722222,0.005405405405405406,0.3333333333333333,0
1.0,239.0,7.505,0.004166666666666667,0.0,1
3.0,2.0,6.767222222,0.16666666666666666,0.25,0
1.0,135.0,6.862222222,0.007352941176470588,0.0,1
