start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,rat_present,hours_after_sunset_sq,risk_reward_interaction,interaction_rat_risk,interaction_time_risk,reward_to_risk_ratio,nocturnal_index,month_log1p,season_log1p,risk_reward_interaction_log1p,hours_after_sunset_poly,hours_after_sunset^2
28/01/2018 20:05,0.034803066,fast,28/01/2018 19:56,28/01/2018 20:10,569,0,1,1,28/01/2018 17:10,2.926388889,0,1,8.563751929662654,0.0,0.0,0.0,1.0,0.6933494265077617,0.6931471805599453,0.0,0.0,2.926388889,8.563751929662654
28/01/2018 20:05,1.0,rat,28/01/2018 19:56,28/01/2018 20:10,583,1,0,1,28/01/2018 17:10,2.930277778,0,1,8.586527856240618,0.0,1.0,2.930277778,0.0,0.6940827177721532,0.6931471805599453,0.0,0.0,2.930277778,8.586527856240618
28/01/2018 20:05,1.0,fast,28/01/2018 19:56,28/01/2018 20:10,589,0,1,1,28/01/2018 17:10,2.931944444,0,1,8.596298222702469,0.0,0.0,0.0,1.0,0.6943967651273723,0.6931471805599453,0.0,0.0,2.931944444,8.596298222702469
28/01/2018 20:06,2.0,fast,28/01/2018 19:56,28/01/2018 20:10,627,0,1,1,28/01/2018 17:10,2.9425,0,1,8.658306249999999,0.0,0.0,0.0,1.0,0.6963826600680832,0.6931471805599453,0.0,0.0,2.9425,8.658306249999999
28/01/2018 20:06,1.0,fast,28/01/2018 19:56,28/01/2018 20:10,631,0,1,1,28/01/2018 17:10,2.943611111,0,1,8.664846372802655,0.0,0.0,0.0,1.0,0.6965913925173731,0.6931471805599453,0.0,0.0,2.943611111,8.664846372802655
28/01/2018 20:06,4.0,fast,28/01/2018 19:56,28/01/2018 20:10,642,0,1,1,28/01/2018 17:10,2.946666667,0,1,8.68284444640889,0.0,0.0,0.0,1.0,0.6971651029171269,0.6931471805599453,0.0,0.0,2.946666667,8.68284444640889
28/01/2018 20:08,4.0,pick,28/01/2018 19:56,28/01/2018 20:10,720,0,1,1,28/01/2018 17:10,2.968333333,0,1,8.811002775798888,0.0,0.0,0.0,1.0,0.7012204117243712,0.6931471805599453,0.0,0.0,2.968333333,8.811002775798888
28/01/2018 20:09,3.0,rat,28/01/2018 19:56,28/01/2018 20:10,824,1,0,1,28/01/2018 17:10,2.997222222,0,1,8.983341048050617,0.0,1.0,2.997222222,0.0,0.7065923716518256,0.6931471805599453,0.0,0.0,2.997222222,8.983341048050617
29/01/2018 1:32,22.0,pick,29/01/2018 1:29,29/01/2018 1:33,225,0,1,1,28/01/2018 17:10,8.381666667,0,1,70.25233611669887,0.0,0.0,0.0,1.0,0.8118288316578298,0.6931471805599453,0.0,0.0,8.381666667,70.25233611669887
28/01/2018 19:58,1.0,rat,28/01/2018 19:56,28/01/2018 20:10,162,1,0,1,28/01/2018 17:10,2.813333333,0,1,7.9148444425688895,0.0,1.0,2.813333333,0.0,0.6717205892583428,0.6931471805599453,0.0,0.0,2.813333333,7.9148444425688895
20/02/2018 1:49,2.0,rat,20/02/2018 1:47,20/02/2018 1:50,151,1,0,2,19/02/2018 17:30,8.333055556,0,1,69.43981489938247,0.0,1.0,8.333055556,0.0,0.8191937537117077,1.0986122886681098,0.0,0.0,8.333055556,69.43981489938247
20/02/2018 3:10,1.0,rat,20/02/2018 3:10,20/02/2018 3:11,17,1,0,2,19/02/2018 17:30,9.676111111,0,1,93.62712623241767,0.0,1.0,9.676111111,0.0,0.5715492909573625,1.0986122886681098,0.0,0.0,9.676111111,93.62712623241767
20/02/2018 2:12,3.0,bat,20/02/2018 2:10,20/02/2018 2:13,116,1,0,2,19/02/2018 17:30,8.713055556,0,1,75.91733712194248,0.0,1.0,8.713055556,0.0,0.7581817560511873,1.0986122886681098,0.0,0.0,8.713055556,75.91733712194248
10/02/2018 0:43,4.0,rat,10/02/2018 0:43,10/02/2018 0:45,22,1,0,2,9/02/2018 17:21,7.375277778,0,1,54.39472230266062,0.0,1.0,7.375277778,0.0,0.935880307915723,1.0986122886681098,0.0,0.0,7.375277778,54.39472230266062
10/02/2018 0:44,3.0,fast,10/02/2018 0:43,10/02/2018 0:45,96,0,1,2,9/02/2018 17:21,7.395833333,0,1,54.69835068951389,0.0,0.0,0.0,1.0,0.9339707898025581,1.0986122886681098,0.0,0.0,7.395833333,54.69835068951389
10/02/2018 0:49,0.089216347,fast,10/02/2018 0:49,10/02/2018 0:51,18,0,1,2,9/02/2018 17:21,7.471944444,0,1,55.82995377422247,0.0,0.0,0.0,1.0,0.9266653686657145,1.0986122886681098,0.0,0.0,7.471944444,55.82995377422247
10/02/2018 0:49,2.0,rat,10/02/2018 0:49,10/02/2018 0:51,56,1,0,2,9/02/2018 17:21,7.4825,0,1,55.98780625,0.0,1.0,7.4825,0.0,0.9256230903041914,1.0986122886681098,0.0,0.0,7.4825,55.98780625
10/02/2018 0:50,0.041390374,fast,10/02/2018 0:49,10/02/2018 0:51,65,0,1,2,9/02/2018 17:21,7.485,0,1,56.025225000000006,0.0,0.0,0.0,1.0,0.9253751992908621,1.0986122886681098,0.0,0.0,7.485,56.025225000000006
10/02/2018 0:50,0.090143902,rat,10/02/2018 0:49,10/02/2018 0:51,81,1,0,2,9/02/2018 17:21,7.489444444,0,1,56.09177807976247,0.0,1.0,7.489444444,0.0,0.924933525499629,1.0986122886681098,0.0,0.0,7.489444444,56.09177807976247
10/02/2018 0:50,20.0,both,10/02/2018 0:49,10/02/2018 0:51,102,0,0,2,9/02/2018 17:21,7.495277778,0,1,56.17918896938062,0.0,0.0,0.0,0.0,0.9243519282682399,1.0986122886681098,0.0,0.0,7.495277778,56.17918896938062
10/02/2018 0:51,2.0,rat,10/02/2018 0:49,10/02/2018 0:51,149,1,0,2,9/02/2018 17:21,7.508333333,0,1,56.375069439438896,0.0,1.0,7.508333333,0.0,0.9230424488017653,1.0986122886681098,0.0,0.0,7.508333333,56.375069439438896
